structure_id,source_path,formula,structure_class,is_bulk,is_gb,translation_state,translation_index,li_vac_region,vacancy_count,has_vacancy,natoms,li_count,p_count,s_count,cl_count,lattice_a_A,lattice_b_A,lattice_c_A,volume_ang3,mass_density_g_cm3,li_fraction,li_number_density_per_A3,gb_delta_A,gb_z0_A,min_pair_distance_A,min_pair_label,li_s_nn_mean_A,li_s_nn_std_A,li_s_nn_min_A,li_s_nn_max_A,li_cl_nn_mean_A,li_cl_nn_std_A,li_cl_nn_min_A,li_cl_nn_max_A,li_li_nn_mean_A,li_li_nn_std_A,li_li_nn_min_A,li_li_nn_max_A,p_s_nn_mean_A,p_s_nn_std_A,p_s_nn_min_A,p_s_nn_max_A,li_s_coord_3p0_mean,li_s_coord_3p0_std,li_cl_coord_3p5_mean,li_cl_coord_3p5_std,has_cp2k_label,cp2k_energy_Ha,cp2k_max_force_ev_per_A,cp2k_warning_count,cp2k_scf_failures,cp2k_label_source,screening_600K_d_cm2_s,screening_600K_log10D,screening_700K_d_cm2_s,screening_700K_log10D,formal_600K_d_cm2_s,formal_700K_d_cm2_s,formal_800K_d_cm2_s,has_formal_transport,formal_activation_energy_eV,formal_d_tracer_300K_cm2_s,formal_sigma_ne_upper_300K_mS_cm,run_name,label_tier,target_temperature_K,reported_temperature_K,target_md_steps,reported_md_steps,trajectory_time_ps,li_diffusion_last_half_cm2_per_s,log10_li_diffusion_last_half_cm2_per_s,li_msd_last_A2,li_rmsd_last_A,frames_saved,save_interval_steps,energy_per_atom_eV,fmax_eV_per_A,fmean_eV_per_A,frms_eV_per_A,run_min_pair_distance_A,run_min_pair_label,model_path,device
gb_Sigma3_t1_Li_vac_c1_s1,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t1_Li_vac_c1_s1\POSCAR,Li287P48S240Cl48,gb,0,1,t1,1,within_delta,1,1,623,287,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.5691697331972196,0.4606741573033708,0.02106549439086789,10.0,18.606348,2.05897547885192,P-S,2.3321249996875006,3.75662439411175e-15,2.332124999687487,2.332124999687513,3.642489400313848,3.0752882415763384e-15,3.6424894003138406,3.6424894003138646,3.144843773516372,0.34202753915733053,2.3816419356901535,3.2981228037074155,2.0589754788519263,2.0511601988091347e-15,2.05897547885192,2.058975478851931,2.6655052264808363,0.7463931896304326,0.0,0.0,1,-5652.994497670531,0.497334,0,0,03_followup/followup_final_results.csv,2.6514421133000316e-05,-4.5765178500271455,2.7388228970304362e-05,-4.562436050012984,nan,nan,nan,0,,,,md_600K_1000steps,screening,600,540.0061546755032,1000,1000,1.0,2.6514421133000316e-05,-4.5765178500271455,1.8828750266052132,1.3721789338877104,51,20,-3.9997379287354446,3.4956257343292236,0.7216266393661499,0.8754846453666687,1.8762352373107443,S-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t1_Li_vac_c1_s1,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t1_Li_vac_c1_s1\POSCAR,Li287P48S240Cl48,gb,0,1,t1,1,within_delta,1,1,623,287,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.5691697331972196,0.4606741573033708,0.02106549439086789,10.0,18.606348,2.05897547885192,P-S,2.3321249996875006,3.75662439411175e-15,2.332124999687487,2.332124999687513,3.642489400313848,3.0752882415763384e-15,3.6424894003138406,3.6424894003138646,3.144843773516372,0.34202753915733053,2.3816419356901535,3.2981228037074155,2.0589754788519263,2.0511601988091347e-15,2.05897547885192,2.058975478851931,2.6655052264808363,0.7463931896304326,0.0,0.0,1,-5652.994497670531,0.497334,0,0,03_followup/followup_final_results.csv,2.6514421133000316e-05,-4.5765178500271455,2.7388228970304362e-05,-4.562436050012984,nan,nan,nan,0,,,,md_700K_1000steps,screening,700,626.514758100814,1000,1000,1.0,2.7388228970304362e-05,-4.562436050012984,1.9741361259307273,1.4050395460380207,51,20,-3.989519789843474,5.06068754196167,0.7867810130119324,0.9606836438179016,1.8715439536310816,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t2_Li_vac_c1_s2,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t2_Li_vac_c1_s2\POSCAR,Li287P48S240Cl48,gb,0,1,t2,2,within_delta,1,1,623,287,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.5691697331972196,0.4606741573033708,0.02106549439086789,10.0,18.606348,2.0589754788519206,P-S,2.3321249996875,3.4731991788334257e-15,2.3321249996874878,2.3321249996875086,3.642489400313848,3.050722782398706e-15,3.642489400313838,3.64248940031386,3.1448437735163726,0.34202753915733025,2.3816419356901575,3.2981228037074186,2.0589754788519263,2.102595536396881e-15,2.0589754788519206,2.058975478851931,2.6655052264808363,0.7463931896304326,0.0,0.0,1,-5652.902032666215,0.509602,0,0,03_followup/followup_final_results.csv,3.260285320551133e-05,-4.48674439142939,3.5859090269117176e-05,-4.445400732512654,nan,nan,nan,0,,,,md_600K_1000steps,screening,600,550.9924780106221,1000,1000,1.0,3.260285320551133e-05,-4.48674439142939,2.1116222009879655,1.4531421819587942,51,20,-3.996221876529351,3.744311571121216,0.7314189672470093,0.8907834887504578,1.901329582778843,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t2_Li_vac_c1_s2,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t2_Li_vac_c1_s2\POSCAR,Li287P48S240Cl48,gb,0,1,t2,2,within_delta,1,1,623,287,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.5691697331972196,0.4606741573033708,0.02106549439086789,10.0,18.606348,2.0589754788519206,P-S,2.3321249996875,3.4731991788334257e-15,2.3321249996874878,2.3321249996875086,3.642489400313848,3.050722782398706e-15,3.642489400313838,3.64248940031386,3.1448437735163726,0.34202753915733025,2.3816419356901575,3.2981228037074186,2.0589754788519263,2.102595536396881e-15,2.0589754788519206,2.058975478851931,2.6655052264808363,0.7463931896304326,0.0,0.0,1,-5652.902032666215,0.509602,0,0,03_followup/followup_final_results.csv,3.260285320551133e-05,-4.48674439142939,3.5859090269117176e-05,-4.445400732512654,nan,nan,nan,0,,,,md_700K_1000steps,screening,700,671.6353395663028,1000,1000,1.0,3.5859090269117176e-05,-4.445400732512654,2.491285688045211,1.578380717078491,51,20,-3.9870256952937013,3.6107985973358154,0.8063274025917053,0.9883407354354858,1.871181747057363,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t3,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t3\POSCAR,Li288P48S240Cl48,gb,0,1,t3,3,within_delta,0,0,624,288,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.570015592884513,0.46153846153846156,0.02113889332602771,10.0,18.606348,1.4946232690551677,P-S,2.3321249996875006,3.6615859287063726e-15,2.3321249996874878,2.332124999687513,3.6424894003138473,3.1583411398257853e-15,3.6424894003138375,3.642489400313864,3.1206827908286012,0.3999975447252759,2.1092270641710558,3.298122803707417,1.9649167772191338,0.21032165072629336,1.4946232690551677,2.0589754788519308,2.6944444444444446,0.6999779537974529,0.0,0.0,1,-5661.350821909827,nan,1,0,03_followup/results_summary.csv,2.1635359231215e-05,-4.664835889425775,3.281554023479308e-05,-4.483920441656691,1.1018556729907985e-05,1.9157546475480393e-05,2.4366934536974397e-05,1,0.1660873556464215,4.5638153188913007e-07,59.78972542699769,md_600K_20steps,pilot,600,297.1220916406132,20,20,0.02,5.7490347797239386e-05,-4.240405064010748,0.05274692386265591,0.2296669847031913,21,1,-4.029719795366271,3.4185001850128174,0.7282194495201111,0.8812986016273499,1.9160216917440867,S-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t3,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t3\POSCAR,Li288P48S240Cl48,gb,0,1,t3,3,within_delta,0,0,624,288,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.570015592884513,0.46153846153846156,0.02113889332602771,10.0,18.606348,1.4946232690551677,P-S,2.3321249996875006,3.6615859287063726e-15,2.3321249996874878,2.332124999687513,3.6424894003138473,3.1583411398257853e-15,3.6424894003138375,3.642489400313864,3.1206827908286012,0.3999975447252759,2.1092270641710558,3.298122803707417,1.9649167772191338,0.21032165072629336,1.4946232690551677,2.0589754788519308,2.6944444444444446,0.6999779537974529,0.0,0.0,1,-5661.350821909827,nan,1,0,03_followup/results_summary.csv,2.1635359231215e-05,-4.664835889425775,3.281554023479308e-05,-4.483920441656691,1.1018556729907985e-05,1.9157546475480393e-05,2.4366934536974397e-05,1,0.1660873556464215,4.5638153188913007e-07,59.78972542699769,md_600K_200steps,pilot,600,387.15726246423975,200,200,0.2,2.9631060531467257e-05,-4.528252804317397,0.42184091563622655,0.6494928141528793,11,20,-4.031131203905306,3.4098398685455322,0.6126924753189087,0.7412195205688477,1.9167812684592016,S-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t3,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t3\POSCAR,Li288P48S240Cl48,gb,0,1,t3,3,within_delta,0,0,624,288,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.570015592884513,0.46153846153846156,0.02113889332602771,10.0,18.606348,1.4946232690551677,P-S,2.3321249996875006,3.6615859287063726e-15,2.3321249996874878,2.332124999687513,3.6424894003138473,3.1583411398257853e-15,3.6424894003138375,3.642489400313864,3.1206827908286012,0.3999975447252759,2.1092270641710558,3.298122803707417,1.9649167772191338,0.21032165072629336,1.4946232690551677,2.0589754788519308,2.6944444444444446,0.6999779537974529,0.0,0.0,1,-5661.350821909827,nan,1,0,03_followup/results_summary.csv,2.1635359231215e-05,-4.664835889425775,3.281554023479308e-05,-4.483920441656691,1.1018556729907985e-05,1.9157546475480393e-05,2.4366934536974397e-05,1,0.1660873556464215,4.5638153188913007e-07,59.78972542699769,md_600K_1000steps,screening,600,506.76621149680676,1000,1000,1.0,2.1635359231215e-05,-4.664835889425775,1.5452564201860066,1.2430834325120768,51,20,-4.018064230119972,3.3535640239715576,0.7109037637710571,0.8652103543281555,1.8819601756850772,S-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t3,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t3\POSCAR,Li288P48S240Cl48,gb,0,1,t3,3,within_delta,0,0,624,288,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.570015592884513,0.46153846153846156,0.02113889332602771,10.0,18.606348,1.4946232690551677,P-S,2.3321249996875006,3.6615859287063726e-15,2.3321249996874878,2.332124999687513,3.6424894003138473,3.1583411398257853e-15,3.6424894003138375,3.642489400313864,3.1206827908286012,0.3999975447252759,2.1092270641710558,3.298122803707417,1.9649167772191338,0.21032165072629336,1.4946232690551677,2.0589754788519308,2.6944444444444446,0.6999779537974529,0.0,0.0,1,-5661.350821909827,nan,1,0,03_followup/results_summary.csv,2.1635359231215e-05,-4.664835889425775,3.281554023479308e-05,-4.483920441656691,1.1018556729907985e-05,1.9157546475480393e-05,2.4366934536974397e-05,1,0.1660873556464215,4.5638153188913007e-07,59.78972542699769,md_600K_20000steps,formal,600,632.1157858172332,20000,20000,20.0,1.1018556729907985e-05,-4.957875287996591,19.127592632211627,4.37351033292613,201,100,-4.029982383656262,3.927560567855835,0.8106593489646912,0.982744038105011,1.8776052505125023,S-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t3,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t3\POSCAR,Li288P48S240Cl48,gb,0,1,t3,3,within_delta,0,0,624,288,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.570015592884513,0.46153846153846156,0.02113889332602771,10.0,18.606348,1.4946232690551677,P-S,2.3321249996875006,3.6615859287063726e-15,2.3321249996874878,2.332124999687513,3.6424894003138473,3.1583411398257853e-15,3.6424894003138375,3.642489400313864,3.1206827908286012,0.3999975447252759,2.1092270641710558,3.298122803707417,1.9649167772191338,0.21032165072629336,1.4946232690551677,2.0589754788519308,2.6944444444444446,0.6999779537974529,0.0,0.0,1,-5661.350821909827,nan,1,0,03_followup/results_summary.csv,2.1635359231215e-05,-4.664835889425775,3.281554023479308e-05,-4.483920441656691,1.1018556729907985e-05,1.9157546475480393e-05,2.4366934536974397e-05,1,0.1660873556464215,4.5638153188913007e-07,59.78972542699769,md_700K_1000steps,screening,700,597.7801714397103,1000,1000,1.0,3.281554023479308e-05,-4.483920441656691,2.068912074166404,1.438371326941136,51,20,-4.009701612938408,2.8556857109069824,0.7247103452682495,0.8549389243125916,1.9343670592789,P-S,/root/models/uma-s-1p2.pt,cuda
gb_Sigma3_t3,D:\毕业设计\LPSCl_UMA_transport_project\01_structures\gb_Sigma3_t3\POSCAR,Li288P48S240Cl48,gb,0,1,t3,3,within_delta,0,0,624,288,48,240,48,25.181979300682464,14.538822527976606,37.212696654423695,13624.175852450795,1.570015592884513,0.46153846153846156,0.02113889332602771,10.0,18.606348,1.4946232690551677,P-S,2.3321249996875006,3.6615859287063726e-15,2.3321249996874878,2.332124999687513,3.6424894003138473,3.1583411398257853e-15,3.6424894003138375,3.642489400313864,3.1206827908286012,0.3999975447252759,2.1092270641710558,3.298122803707417,1.9649167772191338,0.21032165072629336,1.4946232690551677,2.0589754788519308,2.6944444444444446,0.6999779537974529,0.0,0.0,1,-5661.350821909827,nan,1,0,03_followup/results_summary.csv,2.1635359231215e-05,-4.664835889425775,3.281554023479308e-05,-4.483920441656691,1.1018556729907985e-05,1.9157546475480393e-05,2.4366934536974397e-05,1,0.1660873556464215,4.5638153188913007e-07,59.78972542699769,md_700K_20000steps,formal,700,717.0439049061656,20000,20000,20.0,1.9157546475480393e-05,-4.717660112188074,30.799025144117657,5.549686941091151,201,100,-4.023077208572326,4.043278694152832,0.8481095433235168,1.00076162815094,1.9278530979468527,P-S,/root/models/uma-s-1p2.pt,cuda
