structure_id,temperature_K,distance_bin_A,count
gb_Sigma3_t1_Li_vac_c1_s2,500,2.625,9
gb_Sigma3_t1_Li_vac_c1_s2,500,2.875,5
gb_Sigma3_t1_Li_vac_c1_s2,500,3.125,2
gb_Sigma3_t1_Li_vac_c1_s2,500,3.375,1
gb_Sigma3_t1_Li_vac_c1_s2,500,3.625,2
gb_Sigma3_t1_Li_vac_c1_s2,500,3.875,0
gb_Sigma3_t1_Li_vac_c1_s2,600,1.625,1097
gb_Sigma3_t1_Li_vac_c1_s2,600,1.875,428
gb_Sigma3_t1_Li_vac_c1_s2,600,2.125,153
gb_Sigma3_t1_Li_vac_c1_s2,600,2.375,49
gb_Sigma3_t1_Li_vac_c1_s2,600,2.625,21
gb_Sigma3_t1_Li_vac_c1_s2,600,2.875,2
gb_Sigma3_t1_Li_vac_c1_s2,600,3.125,5
gb_Sigma3_t1_Li_vac_c1_s2,600,3.375,3
gb_Sigma3_t1_Li_vac_c1_s2,600,3.625,0
gb_Sigma3_t1_Li_vac_c1_s2,600,3.875,2
gb_Sigma3_t1_Li_vac_c1_s2,600,4.125,0
gb_Sigma3_t1_Li_vac_c1_s2,700,1.625,1527
gb_Sigma3_t1_Li_vac_c1_s2,700,1.875,698
gb_Sigma3_t1_Li_vac_c1_s2,700,2.125,227
gb_Sigma3_t1_Li_vac_c1_s2,700,2.375,116
gb_Sigma3_t1_Li_vac_c1_s2,700,2.625,41
gb_Sigma3_t1_Li_vac_c1_s2,700,2.875,10
gb_Sigma3_t1_Li_vac_c1_s2,700,3.125,6
gb_Sigma3_t1_Li_vac_c1_s2,700,3.375,2
gb_Sigma3_t1_Li_vac_c1_s2,700,3.625,1
gb_Sigma3_t1_Li_vac_c1_s2,700,3.875,0
gb_Sigma3_t1_Li_vac_c1_s2,800,1.625,2053
gb_Sigma3_t1_Li_vac_c1_s2,800,1.875,906
gb_Sigma3_t1_Li_vac_c1_s2,800,2.125,393
gb_Sigma3_t1_Li_vac_c1_s2,800,2.375,142
gb_Sigma3_t1_Li_vac_c1_s2,800,2.625,61
gb_Sigma3_t1_Li_vac_c1_s2,800,2.875,18
gb_Sigma3_t1_Li_vac_c1_s2,800,3.125,7
gb_Sigma3_t1_Li_vac_c1_s2,800,3.375,1
gb_Sigma3_t1_Li_vac_c1_s2,800,3.625,1
gb_Sigma3_t1_Li_vac_c1_s2,800,3.875,0
gb_Sigma3_t1_Li_vac_c1_s2,900,1.625,2765
gb_Sigma3_t1_Li_vac_c1_s2,900,1.875,1440
gb_Sigma3_t1_Li_vac_c1_s2,900,2.125,667
gb_Sigma3_t1_Li_vac_c1_s2,900,2.375,284
gb_Sigma3_t1_Li_vac_c1_s2,900,2.625,128
gb_Sigma3_t1_Li_vac_c1_s2,900,2.875,44
gb_Sigma3_t1_Li_vac_c1_s2,900,3.125,15
gb_Sigma3_t1_Li_vac_c1_s2,900,3.375,3
gb_Sigma3_t1_Li_vac_c1_s2,900,3.625,2
gb_Sigma3_t1_Li_vac_c1_s2,900,3.875,0
gb_Sigma3_t1_Li_vac_c2_s1,500,1.625,694
gb_Sigma3_t1_Li_vac_c2_s1,500,1.875,215
gb_Sigma3_t1_Li_vac_c2_s1,500,2.125,77
gb_Sigma3_t1_Li_vac_c2_s1,500,2.375,31
gb_Sigma3_t1_Li_vac_c2_s1,500,2.625,11
gb_Sigma3_t1_Li_vac_c2_s1,500,2.875,2
gb_Sigma3_t1_Li_vac_c2_s1,500,3.125,2
gb_Sigma3_t1_Li_vac_c2_s1,500,3.375,2
gb_Sigma3_t1_Li_vac_c2_s1,500,3.625,0
gb_Sigma3_t1_Li_vac_c2_s1,600,1.625,1081
gb_Sigma3_t1_Li_vac_c2_s1,600,1.875,399
gb_Sigma3_t1_Li_vac_c2_s1,600,2.125,136
gb_Sigma3_t1_Li_vac_c2_s1,600,2.375,45
gb_Sigma3_t1_Li_vac_c2_s1,600,2.625,22
gb_Sigma3_t1_Li_vac_c2_s1,600,2.875,5
gb_Sigma3_t1_Li_vac_c2_s1,600,3.125,3
gb_Sigma3_t1_Li_vac_c2_s1,600,3.375,2
gb_Sigma3_t1_Li_vac_c2_s1,600,3.625,0
gb_Sigma3_t1_Li_vac_c2_s1,700,1.625,1678
