structure_id,temperature_K,run_name,li_count,nframes,trajectory_time_ps,d_tracer_cm2_s,d_tracer_err_cm2_s,log10_d_tracer,msd_last_A2
gb_Sigma3_t1_Li_vac_c2_s2,700,md_700K_20000steps,286,201,20.0,1.7109390479808747e-05,4.700877410932858e-06,-4.766765461877413,37.14532585841075
gb_Sigma3_t1_Li_vac_c2_s2,800,md_800K_20000steps,286,201,20.0,3.277282619174332e-05,2.12691873298679e-06,-4.484486105259232,50.31033290149845
gb_Sigma3_t1_Li_vac_c2_s2,900,md_900K_20000steps,286,201,20.0,4.313804951899579e-05,7.38429034339863e-06,-4.365139495355107,69.27692514110394
gb_Sigma3_t2,500,md_500K_20000steps,288,201,20.0,9.241618186490518e-06,1.5119854218726068e-06,-5.034251978137766,20.263931583012614
gb_Sigma3_t2,600,md_600K_20000steps,288,201,20.0,1.2625915275849523e-05,2.276448585067165e-06,-4.898737129261357,25.958284409142877
gb_Sigma3_t2,700,md_700K_20000steps,288,201,20.0,2.0348996689375843e-05,1.7956655671205245e-06,-4.691456998871658,35.5650731820347
gb_Sigma3_t2,800,md_800K_20000steps,288,201,20.0,2.9259643897610854e-05,1.7825655027962604e-06,-4.533730963728265,50.005803077616065
gb_Sigma3_t2,900,md_900K_20000steps,288,201,20.0,3.593378903193847e-05,6.66050176950975e-06,-4.444496986277067,58.333076180581074
gb_Sigma3_t2_Li_vac_c1_s1,500,md_500K_20000steps,287,201,20.0,6.38507545174699e-06,2.2412029696405423e-06,-5.194833966359257,17.709584327327583
gb_Sigma3_t2_Li_vac_c1_s1,600,md_600K_20000steps,287,201,20.0,7.1077621471189446e-06,2.4582496125757795e-06,-5.14826711377643,22.637977146133988
gb_Sigma3_t2_Li_vac_c1_s1,700,md_700K_20000steps,287,201,20.0,2.0744210271067434e-05,1.2159555507338818e-06,-4.683103094045229,36.24729272789795
gb_Sigma3_t2_Li_vac_c1_s1,800,md_800K_20000steps,287,201,20.0,2.76723531087715e-05,2.8210741135748944e-06,-4.5579539092109345,47.68147497082855
gb_Sigma3_t2_Li_vac_c1_s1,900,md_900K_20000steps,287,201,20.0,3.475333718560872e-05,5.321099515332013e-07,-4.459003485988767,57.946892629069254
gb_Sigma3_t2_Li_vac_c1_s2,500,md_500K_20000steps,287,201,20.0,6.844034168473899e-06,9.952089879292082e-07,-5.164687830933593,14.233330805382808
gb_Sigma3_t2_Li_vac_c1_s2,600,md_600K_20000steps,287,201,20.0,1.277577524236326e-05,2.3004230647572867e-06,-4.893612737121609,19.933892305059114
gb_Sigma3_t2_Li_vac_c1_s2,700,md_700K_20000steps,287,201,20.0,2.0799055186921448e-05,2.4724509691112637e-06,-4.681956392750028,29.861845935993582
gb_Sigma3_t2_Li_vac_c1_s2,800,md_800K_20000steps,287,201,20.0,2.517210059545843e-05,2.001048601501332e-06,-4.599080541346719,41.61687023258712
gb_Sigma3_t2_Li_vac_c1_s2,900,md_900K_20000steps,287,201,20.0,5.544388018708187e-05,2.740185264007091e-06,-4.256146383647504,66.87794264633344
gb_Sigma3_t2_Li_vac_c2_s1,500,md_500K_20000steps,286,201,20.0,7.1798977991421895e-06,1.1356036153968534e-06,-5.143881737593979,18.39522452553934
gb_Sigma3_t2_Li_vac_c2_s1,600,md_600K_20000steps,286,201,20.0,9.317497540111679e-06,2.7831332183435562e-06,-5.030700713231066,25.415592901593467
gb_Sigma3_t2_Li_vac_c2_s1,700,md_700K_20000steps,286,201,20.0,1.823699449346437e-05,3.690356451770931e-06,-4.739046733028122,31.912059885303933
gb_Sigma3_t2_Li_vac_c2_s1,800,md_800K_20000steps,286,201,20.0,3.1675968554609024e-05,1.1860101639652426e-06,-4.4992700968394335,49.27255406176635
gb_Sigma3_t2_Li_vac_c2_s1,900,md_900K_20000steps,286,201,20.0,4.150390413507431e-05,6.500160704200326e-06,-4.381911048719961,65.86346319961045
gb_Sigma3_t2_Li_vac_c2_s2,500,md_500K_20000steps,286,201,20.0,4.625857358854777e-06,3.0138750472766196e-06,-5.334807763095308,20.41145986664782
gb_Sigma3_t2_Li_vac_c2_s2,600,md_600K_20000steps,286,201,20.0,1.1707481818922144e-05,8.062684196157626e-07,-4.931536507980896,26.212603248168353
gb_Sigma3_t2_Li_vac_c2_s2,700,md_700K_20000steps,286,201,20.0,2.047215411544593e-05,4.016119898771931e-06,-4.688836457717011,34.87761879262293
gb_Sigma3_t2_Li_vac_c2_s2,800,md_800K_20000steps,286,201,20.0,2.9985450354928675e-05,3.7949234777752645e-06,-4.52308942405843,50.8617446104609
gb_Sigma3_t2_Li_vac_c2_s2,900,md_900K_20000steps,286,201,20.0,3.555770316185746e-05,5.55767217433197e-06,-4.449066299905063,62.13231411839659
gb_Sigma3_t3,500,md_500K_20000steps,288,201,20.0,7.86889720209565e-06,1.4451303274334195e-06,-5.104086128200497,13.211385659121431
gb_Sigma3_t3,600,md_600K_20000steps,288,201,20.0,1.1018556729907985e-05,1.553179847140302e-06,-4.957875287996591,19.127592632211627
gb_Sigma3_t3,700,md_700K_20000steps,288,201,20.0,1.9157546475480393e-05,2.840031126722815e-06,-4.717660112188074,30.799025144117657
gb_Sigma3_t3,800,md_800K_20000steps,288,201,20.0,2.4366934536974397e-05,4.3414800696476374e-06,-4.613199103454399,37.77930836455798
gb_Sigma3_t3,900,md_900K_20000steps,288,201,20.0,3.798384353543343e-05,4.603180737712117e-06,-4.420401091685007,49.3218680672578
