structure_id,run_name,target_T_K,final_T_K,deviation_pct
gb_Sigma3_t3_Li_vac_c1_s1,md_700K_20000steps,700,693.9,0.9
gb_Sigma3_t3_Li_vac_c1_s1,md_800K_20000steps,800,812.3,1.5
gb_Sigma3_t3_Li_vac_c1_s1,md_900K_20000steps,900,909.6,1.1
gb_Sigma3_t3_Li_vac_c1_s2,md_500K_20000steps,500,530.2,6.0
gb_Sigma3_t3_Li_vac_c1_s2,md_600K_20000steps,600,623.9,4.0
gb_Sigma3_t3_Li_vac_c1_s2,md_600K_50000steps,600,599.6,0.1
gb_Sigma3_t3_Li_vac_c1_s2,md_700K_20000steps,700,689.3,1.5
gb_Sigma3_t3_Li_vac_c1_s2,md_800K_20000steps,800,787.2,1.6
gb_Sigma3_t3_Li_vac_c1_s2,md_900K_20000steps,900,908.5,0.9
gb_Sigma3_t3_Li_vac_c2_s1,md_500K_20000steps,500,503.1,0.6
gb_Sigma3_t3_Li_vac_c2_s1,md_600K_20000steps,600,573.0,4.5
gb_Sigma3_t3_Li_vac_c2_s1,md_600K_50000steps,600,563.7,6.0
gb_Sigma3_t3_Li_vac_c2_s1,md_700K_20000steps,700,693.0,1.0
gb_Sigma3_t3_Li_vac_c2_s1,md_800K_20000steps,800,816.7,2.1
gb_Sigma3_t3_Li_vac_c2_s1,md_900K_20000steps,900,950.0,5.6
gb_Sigma3_t3_Li_vac_c2_s2,md_500K_20000steps,500,505.7,1.1
gb_Sigma3_t3_Li_vac_c2_s2,md_600K_20000steps,600,619.9,3.3
gb_Sigma3_t3_Li_vac_c2_s2,md_600K_50000steps,600,593.8,1.0
gb_Sigma3_t3_Li_vac_c2_s2,md_700K_20000steps,700,688.3,1.7
gb_Sigma3_t3_Li_vac_c2_s2,md_800K_20000steps,800,777.2,2.9
gb_Sigma3_t3_Li_vac_c2_s2,md_900K_20000steps,900,953.5,5.9
